_id,operator_registration_number,postal_code,ward_number,ward_name
1808931,STR-2301-GMKRVT,M5J,10.0,Spadina-Fort York
1808932,STR-2301-HCXRVW,M3H,6.0,York Centre
1808933,STR-2301-HLDRVX,M3H,6.0,York Centre
1808934,STR-2301-HTKRVY,M1J,21.0,Scarborough Centre
1808935,STR-2301-JBRRVZ,M2R,18.0,Willowdale
1808936,STR-2301-FHBDVP,M6P,4.0,Parkdale-High Park
1808937,STR-2301-FQHDVQ,M9N,5.0,York South-Weston
1808938,STR-2301-FXPDVR,M1S,22.0,Scarborough-Agincourt
1808939,STR-2301-GFVDVS,M4V,12.0,Toronto-St. Paul's
1808940,STR-2301-GPBDVT,M2N,18.0,Willowdale
1808941,STR-2301-GWHDVV,M8Z,3.0,Etobicoke-Lakeshore
1808942,STR-2301-HLVDVX,M3J,6.0,York Centre
1808943,STR-2301-HVBDVY,M6A,8.0,Eglinton-Lawrence
1808944,STR-2301-FHRRVP,M4P,15.0,Don Valley West
1808945,STR-2301-FYDRVR,M6S,4.0,Parkdale-High Park
1808946,STR-2301-GWXRVV,M5V,10.0,Spadina-Fort York
1808947,STR-2301-HFDRVW,M5V,10.0,Spadina-Fort York
1808948,STR-2301-HVRRVY,M4Y,13.0,Toronto Centre
1808949,STR-2301-FJHDVP,M3H,6.0,York Centre
1808950,STR-2301-GHBDVS,M5J,10.0,Spadina-Fort York
1808951,STR-2301-GQHDVT,M1C,25.0,Scarborough-Rouge Park
1808952,STR-2301-GXPDVV,M5J,10.0,Spadina-Fort York
1808953,STR-2301-HFVDVW,M9N,5.0,York South-Weston
1808954,STR-2301-HWHDVY,M6M,5.0,York South-Weston
1808955,STR-2301-JDPDVZ,M2M,18.0,Willowdale
1808956,STR-2301-FZKRVR,M5V,10.0,Spadina-Fort York
1808957,STR-2301-GHRRVS,M5S,13.0,Toronto Centre
1808958,STR-2301-GYDRVV,M9B,3.0,Etobicoke-Lakeshore
1808959,STR-2301-HGKRVW,M6G,11.0,University-Rosedale
1808960,STR-2301-HPRRVX,M9W,1.0,Etobicoke North
1808961,STR-2301-HWXRVY,M5A,13.0,Toronto Centre
1808962,STR-2301-FSVDVQ,M4W,11.0,University-Rosedale
1808963,STR-2301-GRPDVT,M4C,19.0,Beaches-East York
1808964,STR-2301-GYVDVV,M5V,10.0,Spadina-Fort York
1808965,STR-2301-HHBDVW,M8V,3.0,Etobicoke-Lakeshore
1808966,STR-2301-HQHDVX,M8V,3.0,Etobicoke-Lakeshore
1808967,STR-2301-HXPDVY,M5V,10.0,Spadina-Fort York
1808968,STR-2301-FTKRVQ,M4M,14.0,Toronto-Danforth
1808969,STR-2301-GBRRVR,M5V,10.0,Spadina-Fort York
1808970,STR-2301-GJXRVS,M4C,19.0,Beaches-East York
1808971,STR-2301-GSDRVT,M5V,10.0,Spadina-Fort York
1808972,STR-2301-HYDRVY,M2N,18.0,Willowdale
1808973,STR-2301-JGKRVZ,M1N,20.0,Scarborough Southwest
1808974,STR-2301-FLWKVQ,M5V,10.0,Spadina-Fort York
1808975,STR-2301-GCJKVS,M2N,18.0,Willowdale
1808976,STR-2301-GSWKVV,M1C,25.0,Scarborough-Rouge Park
1808977,STR-2301-HBCKVW,M1W,22.0,Scarborough-Agincourt
1808978,STR-2301-HRQKVY,M5B,11.0,University-Rosedale
1808979,STR-2301-FFFXVP,M5R,11.0,University-Rosedale
1808980,STR-2301-FVSXVR,M6C,9.0,Davenport
1808981,STR-2301-GCYXVS,M3A,16.0,Don Valley East
1808982,STR-2301-HBSXVW,M5V,10.0,Spadina-Fort York
1808983,STR-2301-HJYXVX,M5V,10.0,Spadina-Fort York
1808984,STR-2301-HZLXVZ,M2N,18.0,Willowdale
1808985,STR-2301-FFWKVP,M4A,16.0,Don Valley East
1808986,STR-2301-FPCKVQ,M5V,10.0,Spadina-Fort York
1808987,STR-2301-GVCKVV,M1L,20.0,Scarborough Southwest
1808988,STR-2301-FGLXVP,M6G,11.0,University-Rosedale
1808989,STR-2301-FWYXVR,M5V,10.0,Spadina-Fort York
1808990,STR-2301-GVSXVV,M5V,10.0,Spadina-Fort York
1808991,STR-2301-HCYXVW,M1J,24.0,Scarborough-Guildwood
1808992,STR-2301-HTLXVY,M6J,9.0,Davenport
1808993,STR-2301-JBSXVZ,M9A,2.0,Etobicoke Centre
1808994,STR-2301-FHCKVP,M5V,10.0,Spadina-Fort York
1808995,STR-2301-FXQKVR,M8X,3.0,Etobicoke-Lakeshore
1808996,STR-2301-GFWKVS,M4Y,13.0,Toronto Centre
1808997,STR-2301-GWJKVV,M4M,14.0,Toronto-Danforth
1808998,STR-2301-HDQKVW,M6G,11.0,University-Rosedale
1808999,STR-2301-HLWKVX,M5J,10.0,Spadina-Fort York
1809000,STR-2301-FHSXVP,M9C,2.0,Etobicoke Centre
1809001,STR-2301-FYFXVR,M5S,13.0,Toronto Centre
1809002,STR-2301-GGLXVS,M6J,10.0,Spadina-Fort York
1809003,STR-2301-GPSXVT,M4E,19.0,Beaches-East York
1809004,STR-2301-HFFXVW,M4C,19.0,Beaches-East York
1809005,STR-2301-HMLXVX,M5V,10.0,Spadina-Fort York
1809006,STR-2301-JCYXVZ,M4T,12.0,Toronto-St. Paul's
1809007,STR-2301-FJJKVP,M5R,11.0,University-Rosedale
1809008,STR-2301-FYWKVR,M4Y,13.0,Toronto Centre
1809009,STR-2301-GXQKVV,M6J,10.0,Spadina-Fort York
1809010,STR-2301-HFWKVW,M1V,23.0,Scarborough North
1809011,STR-2301-HPCKVX,M2K,17.0,Don Valley North
1809012,STR-2301-HWJKVY,M3H,6.0,York Centre
1809013,STR-2301-JDQKVZ,M5V,10.0,Spadina-Fort York
1809014,STR-2301-GHSXVS,M4X,13.0,Toronto Centre
1809015,STR-2301-GQYXVT,M2R,18.0,Willowdale
1809016,STR-2301-GYFXVV,M5J,10.0,Spadina-Fort York
1809017,STR-2301-HGLXVW,M5V,10.0,Spadina-Fort York
1809018,STR-2301-HWYXVY,M6S,4.0,Parkdale-High Park
1809019,STR-2301-FKQKVP,M6S,4.0,Parkdale-High Park
1809020,STR-2301-GBCKVR,M6S,4.0,Parkdale-High Park
1809021,STR-2301-GJJKVS,M4K,14.0,Toronto-Danforth
1809022,STR-2301-GRQKVT,M5E,10.0,Spadina-Fort York
1809023,STR-2301-FLFXVP,M5J,10.0,Spadina-Fort York
1809024,STR-2301-GBSXVR,M5V,10.0,Spadina-Fort York
1809025,STR-2301-GJYXVS,M5V,10.0,Spadina-Fort York
1809026,STR-2301-GSFXVT,M5J,10.0,Spadina-Fort York
1809027,STR-2301-HHSXVW,M4C,19.0,Beaches-East York
1809028,STR-2301-HQYXVX,M9R,2.0,Etobicoke Centre
1809029,STR-2301-HYFXVY,M8V,3.0,Etobicoke-Lakeshore
1809030,STR-2301-JGLXVZ,M2N,18.0,Willowdale
1809031,STR-2301-GCKRVS,M6J,11.0,University-Rosedale
1809032,STR-2301-GKRRVT,M5V,10.0,Spadina-Fort York
1809033,STR-2301-GSXRVV,M5V,10.0,Spadina-Fort York
1809034,STR-2301-HRRRVY,M3K,6.0,York Centre
1809035,STR-2301-HYXRVZ,M6G,12.0,Toronto-St. Paul's
1809036,STR-2301-FFHDVP,M6S,4.0,Parkdale-High Park
1809037,STR-2301-GLHDVT,M4M,14.0,Toronto-Danforth
1809038,STR-2301-GTPDVV,M5V,10.0,Spadina-Fort York
1809039,STR-2301-HSHDVY,M4Y,11.0,University-Rosedale
1809040,STR-2301-FFXRVP,M8V,3.0,Etobicoke-Lakeshore
1809041,STR-2301-FPDRVQ,M3A,16.0,Don Valley East
1809042,STR-2301-GLXRVT,M1N,20.0,Scarborough Southwest
1809043,STR-2301-HCKRVW,M6K,10.0,Spadina-Fort York
1809044,STR-2301-HKRRVX,M3C,16.0,Don Valley East
1809045,STR-2301-FPVDVQ,M5V,10.0,Spadina-Fort York
1809046,STR-2301-GFHDVS,M5J,10.0,Spadina-Fort York
1809047,STR-2301-GVVDVV,M1S,22.0,Scarborough-Agincourt
1809048,STR-2301-HLHDVX,M5T,11.0,University-Rosedale
1809049,STR-2301-FHDRVP,M5N,8.0,Eglinton-Lawrence
1809050,STR-2301-FQKRVQ,M2M,18.0,Willowdale
1809051,STR-2301-GPDRVT,M5V,10.0,Spadina-Fort York
1809052,STR-2301-FRBDVQ,M3H,6.0,York Centre
